Rcvr ID,Line Count Expected,Pct lost,Total Lost,Largest Block Lost,Last Block Lost,Block Start Time,Block End Time,Reset Count,Total Line Count,Total Message Count
B52T6aP0BNi<IGVEOfQt3wWUoP06,0,0.00,0,0,0,0,0,0,1,1
B52S8q@00fibi=6D7dVqowc5oP06,0,0.00,0,0,0,0,0,0,1,1
B52RvHP0dNi9cA6E7jqr3wPUoP06,0,0.00,0,0,0,0,0,0,1,1
B52Rqjh0P>iw=FVEv27CSwW5oP06,0,0.00,0,0,0,0,0,0,1,1
B52QtlP00>dn`LUnW9cQ3wQ5oP06,0,0.00,0,0,0,0,0,0,2,2
B52QNWP0<FfolI5toVCAsw`5kP06,0,0.00,0,0,0,0,0,0,1,1
B52PS`P0?Ni=B<VD0vDLkwc5oP06,0,0.00,0,0,0,0,0,0,1,1
B52PLC00gFgNbkUu40fvgw`UkP06,0,0.00,0,0,0,0,0,0,1,1
B52M7e@006gj5lUqv>T03wu5kP06,0,0.00,0,0,0,0,0,0,1,1
B52JgkP00>cn3UUobDGQ3waUoP06,0,0.00,0,0,0,0,0,0,1,1
B52JEjP00>gW=b6?a7VdkwqUoP06,0,0.00,0,0,0,0,0,0,1,1
B52I@cP0>ni0uR6Chb8sswP7CP06,0,0.00,0,0,0,0,0,0,1,1
B4hB9D000>fHQj5shT1JwwW5oP06,0,0.00,0,0,0,0,0,0,1,1
B4eHRA00HflA4g6@j8E`swn5oP06,0,0.00,0,0,0,0,0,0,1,1
B4`4Vt00P>g6thUsge2O1wW5WP06,0,0.00,0,0,0,0,0,0,2,2
B3P=2u@00>fH9H5shQlMSwlUoP06,0,0.00,0,0,0,0,0,0,1,1
B0P00rriD@H@38KFgwD28Hb,0,0.00,0,0,0,0,0,0,1,1
B,0,0.00,0,0,0,0,0,0,523,523
