3,NYPA_CABLE_AREA_AISMARKER_A
5,CABLE_AREA_MARKER_3
6,NYPA_CABLE_AREA_AISMARKER_D
9,CABLE_AREA_MARKER_7
10,NYPA_CABLE_AREA_AISMARKER_H
4093,4093
507027,507027
641114,SAMANTHA_MILLER
701775,701775
1193046,1193046
3160036,3160036
3160037,3160037
3160048,3160048
3160061,3160061
3160063,3160063
3160064,3160064
3160065,3160065
3160068,3160068
3160070,3160070
3160073,3160073
3160092,3160092
3160093,3160093
3160094,3160094
3160095,3160095
3160096,3160096
3160106,3160106
3160121,3160121
3160122,3160122
3660608,3660608
3660609,3660609
3660610,3660610
3660613,3660613
3660614,3660614
3660615,3660615
3660616,3660616
3660617,3660617
3660618,3660618
3660619,3660619
3660620,3660620
3660631,3660631
3661004,3661004
3665001,3665001
3669101,3669101
3669102,3669102
3669141,3669141
3669146,3669146
3669152,3669152
3669166,3669166
3669168,3669168
3669169,3669169
3669171,3669171
3669175,3669175
3669176,3669176
3669187,3669187
3669191,3669191
3669708,3669708
3669743,3669743
3669744,3669744
3669745,3669745
3669748,3669748
3669750,3669750
3669752,3669752
3669754,3669754
3669757,3669757
3669770,3669770
3669771,3669771
3669772,3669772
3669777,3669777
3669788,3669788
3669956,3669956
3669968,3669968
3669982,3669982
3669983,3669983
3669984,3669984
3669986,3669986
3669987,3669987
3699101,3699101
36758540,36758540
81561320,81561320
123456789,123456789
209016000,209016000
209156000,209156000
210594000,210594000
210684000,210684000
211801000,211801000
212160000,212160000
212372000,212372000
212498000,212498000
212510000,KYPROS_LOYALTY
215000211,215000211
215771000,215771000
219289000,219289000
220187000,220187000
220263000,220263000
225356000,225356000
226019000,226019000
227198230,227198230
227218620,227218620
227284480,TIKI
228354600,228354600
229004000,229004000
229137000,229137000
229236000,OCEAN_CASTLE
229487000,229487000
229725000,229725000
229934000,229934000
233731000,MICHAELA_ROSE
235008680,235008680
235011460,OCEAN_RESEARCHER
235021717,235021717
235052361,TALARIA
235066182,235066182
235067205,235067205
235068366,235068366
235072907,235072907
235074622,235074622
235084258,S/Y_FAR_BAY
235089701,235089701
235089934,235089934
235090185,235090185
235097409,TOURTERELLE
235100759,235100759
235104952,235104952
235113758,235113758
235117271,235117271
235117615,235117615
235118629,AGLAIA
236184000,236184000
239838000,239838000
239962000,239962000
240680000,240680000
240803000,240803000
240864000,240864000
240990000,240990000
241193000,241193000
241285000,241285000
241459000,241459000
244029012,244029012
244770782,244770782
244958000,244958000
245226000,245226000
245953000,245953000
246265000,246265000
246452000,246452000
247253800,247253800
247304600,247304600
249029000,PETANI
249078000,249078000
249551000,249551000
249757000,249757000
255740000,255740000
255805940,255805940
256058000,256058000
256908000,256908000
257321000,257321000
257869000,257869000
271044978,271044978
303029000,303029000
303197000,303197000
303207000,303207000
303278000,303278000
303454000,303454000
303461000,303461000
303520000,303520000
303556000,303556000
303636000,303636000
303944000,303944000
303990000,303990000
304881000,BBC_AFRICA
305767000,305767000
308017000,308017000
309518000,309518000
309908000,309908000
309951000,309951000
310245000,310245000
310327000,310327000
310361000,310361000
310380000,310380000
310627000,310627000
310686000,STENA_IMPERATIVE
310761000,LIMARI
311000170,311000170
311000209,CLUB_M
311000421,311000421
311000468,311000468
311000497,311000497
311000500,311000500
311037800,311037800
311045300,311045300
311057100,311057100
311307000,311307000
311498000,311498000
314954012,314954012
316001017,316001017
316001019,316001019
316001023,316001023
316001152,316001152
316001235,316001235
316001238,316001238
316001247,316001247
316001262,316001262
316001267,316001267
316001269,316001269
316001434,316001434
316001449,316001449
316001451,316001451
316001453,316001453
316001454,316001454
316001577,LADY_JANICE_II
316001701,316001701
316001717,316001717
316001795,316001795
316001803,316001803
316001821,316001821
316001837,ENGLISH_RIVER
316001838,316001838
316001892,316001892
316002103,316002103
316002238,316002238
316002303,316002303
316002318,316002318
316002518,316002518
316002535,316002535
316002591,316002591
316002873,316002873
316002977,316002977
316003152,316003152
